公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.37,信義區雅祥段三小段2443建號（含共同使用部分及停車位編號30）,197.19,信義區永吉路30巷101弄31號2樓,56150000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.16,信義區雅祥段三小段2444建號（含共同使用部分及停車位編號31、148）,196.03,信義區永吉路30巷101弄29號2樓,58150000,58889990,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.37,信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,197.19,信義區永吉路30巷101弄31號3樓,58530000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.16,信義區雅祥段三小段2446建號（含共同使用部分及停車位編號41、136）,197.19,信義區永吉路30巷101弄29號3樓,58530000,58800000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.16,信義區雅祥段三小段2447建號（含共同使用部分及停車位編號19、137）,202.54,信義區永吉路30巷101弄31號4樓,58210000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2448建號（含共同使用部分及停車位編號24、134）,201.38,信義區永吉路30巷101弄29號4樓,57320000,63280000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2449建號（含共同使用部分及停車位編號29、139）,202.54,信義區永吉路30巷101弄31號5樓,58930000,65000000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2450建號（含共同使用部分及停車位編號20、135）,201.38,信義區永吉路30巷101弄29號5樓,59510000,59889990,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2451建號（含共同使用部分及停車位編號21、141）,202.54,信義區永吉路30巷101弄31號6樓,59510000,60888990,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2452建號（含共同使用部分及停車位編號22、140）,201.38,信義區永吉路30巷101弄29號6樓,60090000,60090000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2453建號（含共同使用部分及停車位編號23、138）,202.54,信義區永吉路30巷101弄31號7樓,61520000,61520000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2454建號（含共同使用部分及停車位編號25、196）,201.38,信義區永吉路30巷101弄29號7樓,60710000,60710000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2455建號（含共同使用部分及停車位編號26、197）,202.54,信義區永吉路30巷101弄31號8樓,62130000,62130000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2456建號（含共同使用部分及停車位編號28、195）,201.38,信義區永吉路30巷101弄29號8樓,61230000,61230000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2457建號（含共同使用部分及停車位編號104、226）,202.54,信義區永吉路30巷101弄31號9樓,62750000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2458建號（含共同使用部分及停車位編號127、194）,201.38,信義區永吉路30巷101弄29號9樓,61830000,61830000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2459建號（含共同使用部分及停車位編號128、227）,202.54,信義區永吉路30巷101弄31號10樓,63270000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,28.66,信義區雅祥段三小段2460建號（含共同使用部分及停車位編號129、228）,201.38,信義區永吉路30巷101弄29號10樓,62350000,62350000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,32.66,信義區雅祥段三小段2461建號（含共同使用部分及停車位編號130、131）,242.04,信義區永吉路30巷101弄31號11樓,64200000,64200000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,信義區雅祥段三小段790地號,32.46,信義區雅祥段三小段2462建號（含共同使用部分及停車位編號132、133）,240.88,信義區永吉路30巷101弄29號11樓,63280000,63280000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,中正區永昌段六小段314、315地號,28.99,中正區永昌段六小段1341建號（含共同使用部分）,212.48,中正區汀州路1段76號9樓,55770000,56560000,已標脫
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,44680000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,44232000,─,再標售
1030411,公開標售臺北市信義區永吉路30巷101弄23號4樓等25戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20224建號（含共同使用部分及停車位編號149）,169.95,福林路100巷11弄53號5樓,37600000,38100000,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,43.73,信義區雅祥段三小段2442建號（含共同使用部分及停車位編號32、84）,324,信義區永吉路30巷101弄23號4樓,85670000,85701000,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,28.37,信義區雅祥段三小段2443建號（含共同使用部分及停車位編號30）,197.19,信義區永吉路30巷101弄31號2樓,56150000,57090000,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,28.37,信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,197.19,信義區永吉路30巷101弄31號3樓,58530000,─,再標售
