年度,月份,財產性質別,項目,金額（元）
114,12,事業用,房屋建築及設備,"114,184,155,028"
114,12,事業用,機械及設備,"44,031,699,506"
114,12,事業用,交通及運輸設備,"2,592,874,625"
114,12,事業用,什項設備,"3,210,721,947"
114,12,事業用,有價證券及權利,"406,926,837"
114,12,非公用,土地及土地改良物,"483,280,451,298"
114,12,非公用,房屋建築及設備,"5,551,243,590"
114,12,非公用,機械及設備,"23,853,255"
114,12,非公用,交通及運輸設備,"7,327,669"
114,12,非公用,什項設備,"57,909,120"
114,12,非公用,有價證券及權利,"418,300,130"
