行政區別,男性/戶數（戶）,女性/戶數（戶）,男性/面積（平方公尺）,女性/面積（平方公尺）,男性/地價（千元）,女性/地價（千元）,男性/查定稅額（千元）,女性/查定稅額（千元）
松山區,31238,37480,1336126,1315327,99187895,100073900,616726,462427
信義區,36038,41210,1268922,1293532,94608622,100720259,440138,420979
大安區,45682,54502,1720710,1884340,163146637,181001182,845617,812341
中山區,41039,52378,1657414,1636858,124191970,127336482,746613,684450
中正區,24745,27544,906526,813222,77862765,72920998,434739,343279
大同區,23092,22930,999446,701210,54829893,41453199,352077,231826
萬華區,33373,33410,1119853,909567,56433194,45720396,324741,224797
文山區,41544,47958,1887448,1877747,73711819,78116286,339390,307795
南港區,19848,19982,860350,693679,38593440,34046246,206734,146712
內湖區,42082,50412,2120770,1996112,97863342,98884402,541488,420068
士林區,43298,46102,2829669,2232667,114913435,109191314,616461,509859
北投區,38375,42968,2532516,2000272,76474897,72526889,401106,317879
